,ch0_mav,ch0_wl,ch0_rms,ch0_var,ch1_mav,ch1_wl,ch1_rms,ch1_var,ch2_mav,ch2_wl,ch2_rms,ch2_var,ch3_mav,ch3_wl,ch3_rms,ch3_var,ch4_mav,ch4_wl,ch4_rms,ch4_var,label
0,71.236,322,74.36254433516916,455.2203040000002,21.128,86,22.043048790945413,39.50361600000001,30.616,136,33.57630116614991,190.02854399999958,5.908,23,6.299523791525832,4.779535999999991,63.84,272,65.7421630310412,246.48640000000054,index
1,70.588,274,71.0693464160182,68.18625600000006,21.348,85,21.52700629442004,7.674895999999993,28.776,130,29.44608632738823,39.013824000000014,3.904,24,3.9739149462463335,0.5507839999999994,105.012,341,106.485135112841,311.56385600000004,index
2,64.98,314,66.7266363606019,230.04360000000017,19.228,79,19.662654958067083,16.90401600000001,28.004,117,28.993861419272875,56.41998399999994,2.112,10,2.212690669750293,0.43545600000000034,49.264,217,52.7100749382886,351.4103040000001,index
3,53.396,211,54.7247293277911,143.6631839999998,16.14,73,17.165663401103963,34.16039999999994,23.188,104,24.19396618994083,47.664656000000264,2.832,20,2.9202739597510368,0.5077759999999998,62.44,298,72.68347817764365,1384.1343999999988,index
4,61.696,280,64.88710195408638,403.9395839999994,16.328,82,17.233687939614086,30.396415999999945,20.964,101,21.954953882893946,42.53070400000002,2.836,17,2.997999332888518,0.945103999999997,60.516,257,69.57444933307055,1178.4177440000012,index
5,59.284,239,59.84904343429392,67.31534399999998,14.54,64,14.745982503719445,6.032399999999988,21.624,106,22.06789523266775,19.394623999999965,1.456,9,1.6395121225535358,0.568063999999999,29.464,132,31.193204388135566,104.88870400000019,middle
6,62.452,277,64.07973158495595,205.959696,16.804,79,17.50234270033586,23.957583999999972,23.664,111,24.745262172787744,52.343103999999926,5.036,21,5.555897767237982,5.506703999999991,29.58,134,31.764445532702126,134.0035999999999,middle
7,56.008,231,56.576178732749355,63.96793599999995,15.856,58,16.05465664534748,6.339263999999959,25.24,99,25.87121953059036,32.26240000000001,2.94,19,3.0364452901377956,0.5764000000000006,42.092,206,45.83575023930557,329.1795359999998,middle
8,52.0,227,52.84694882393874,88.8,14.616,77,15.257522734703691,19.164543999999967,21.436,106,22.593007767891375,50.94190400000001,1.816,22,2.0474374227311563,0.8941439999999976,46.864,199,53.8332982456026,701.7895039999992,middle
9,48.736,203,50.47851027912769,172.88230400000012,16.452,67,16.8578764973528,13.519696,28.104,118,29.432906754175676,76.4611839999999,2.208,20,2.5314027731674784,1.5327359999999948,64.896,280,72.31519895568289,1017.997184000001,middle
